"ID","preco","nrQuartos","nrWC","Sala_estar_m2","lote_m2","nrAndares","vista","condicao","piso_m2","arrecadacao_m2","Ano_construcao","Ano_renovacao"
"1","313000","3","  1.50 ","31","712","  1.50 ","0","3","121","0","1955","2005"
"2","2384000","5","  2.50 ","85","815","  2.00 ","4","5","303","93","1921","0"
"3","342000","3","  2.00 ","45","1075","  1.00 ","0","4","174","0","1966","0"
"4","420000","3","  2.25 ","46","723","  1.00 ","0","4","90","333","1963","0"
"5","550000","4","  2.50 ","45","945","  1.00 ","0","4","103","267","1976","1992"
"6","490000","2","  1.00 ","20","574","  1.00 ","0","3","79","0","1938","1994"
"7","335000","2","  2.00 ","31","230","  1.00 ","0","3","122","0","1976","0"
"8","482000","4","  2.50 ","63","3228","  2.00 ","0","3","244","0","1989","0"
"9","452500","3","  2.50 ","56","7958","  1.00 ","0","4","141","287","1985","0"
"10","640000","4","  2.00 ","35","558","  1.50 ","0","3","137","0","1945","2010"
"11","463000","3","  1.75 ","40","659","  1.00 ","0","3","154","0","1948","1994"
"12","1400000","4","  2.50 ","68","360","  1.50 ","0","5","172","337","1909","1988"
"13","588500","3","  1.75 ","54","1340","  1.00 ","0","3","177","120","1980","0"
"14","365000","3","  1.00 ","25","579","  1.00 ","0","4","98","0","1955","2009"
"17","419000","3","  1.50 ","36","603","  1.00 ","0","4","141","0","1956","0"
"18","367500","4","  3.00 ","72","651","  2.00 ","0","3","280","0","1997","0"
"19","257950","3","  1.75 ","32","527","  1.00 ","0","3","123","0","1987","2000"
"20","275000","3","  1.50 ","27","925","  1.00 ","0","3","106","0","1983","2009"
"21","750000","3","  1.75 ","52","952","  2.00 ","0","5","140","230","1923","0"
"22","435000","4","  1.00 ","34","792","  1.00 ","0","4","131","0","1954","1979"
"23","626000","3","  2.25 ","41","141","  2.50 ","0","3","132","93","2005","0"
"24","612500","4","  2.50 ","63","1103","  2.00 ","0","3","246","0","1991","0"
"25","495000","4","  1.75 ","37","574","  1.00 ","0","3","102","157","1959","1989"
"26","285000","3","  2.50 ","49","975","  1.00 ","0","4","122","243","1987","0"
"27","615000","3","  1.75 ","55","656","  1.00 ","0","4","122","333","1948","0"
"29","675000","5","  2.50 ","66","6077","  2.00 ","0","3","254","0","1979","2014"
"30","790000","3","  2.50 ","60","428","  1.00 ","0","4","153","300","1951","1999"
"31","382500","4","  1.75 ","36","783","  1.00 ","0","4","140","0","1967","0"
"32","499950","4","  2.50 ","66","301","  2.00 ","0","3","197","223","2004","2003"
"33","650000","4","  2.00 ","42","450","  1.50 ","1","3","148","60","1945","2010"
"34","625000","4","  2.50 ","66","757","  2.00 ","0","3","254","0","2014","0"
"35","400000","4","  2.50 ","84","3860","  1.50 ","0","3","207","443","1979","2014"
"36","604000","3","  2.50 ","75","2984","  2.00 ","2","3","292","0","1995","0"
"37","440000","2","  1.00 ","19","437","  1.00 ","0","4","72","0","1944","0"
"38","287200","3","  3.00 ","43","1797","  1.00 ","0","4","98","253","1992","0"
"39","403000","3","  2.00 ","46","1179","  1.00 ","2","5","149","103","1957","0"
"40","750000","3","  2.50 ","56","590","  1.00 ","2","4","130","317","1955","2009"
"41","335000","3","  2.25 ","37","1459","  1.00 ","0","4","142","0","1978","2000"
"42","260000","4","  2.00 ","34","776","  1.00 ","0","4","133","0","1974","0"
"44","439950","3","  2.50 ","41","259","  2.00 ","0","3","159","0","1990","2009"
"45","235000","2","  1.00 ","28","846","  1.00 ","0","2","109","0","1949","0"
"46","315000","3","  1.00 ","27","826","  1.00 ","0","3","104","0","1968","1997"
"47","437500","3","  2.25 ","46","3159","  2.00 ","0","4","177","0","1977","0"
"48","407500","3","  2.50 ","45","941","  2.00 ","0","3","174","0","1996","0"
"49","445700","3","  2.50 ","30","106","  3.00 ","0","3","114","0","2001","0"
"50","838000","4","  2.50 ","77","3870","  2.00 ","0","3","298","0","2001","0"
"52","550000","3","  1.75 ","68","3168","  1.50 ","0","3","262","0","1979","2014"
"55","470000","5","  2.50 ","51","869","  1.00 ","0","3","131","250","1976","0"
"56","430000","4","  1.50 ","45","900","  1.00 ","0","4","96","283","1954","1979"
"57","491500","4","  1.75 ","51","11291","  1.00 ","2","3","197","0","1968","1997"
"58","785000","5","  3.25 ","85","1080","  2.00 ","2","3","329","0","2006","0"
"59","385000","3","  3.25 ","31","119","  2.00 ","0","3","94","93","2008","0"
"60","295000","2","  2.50 ","38","123","  2.00 ","0","3","115","117","2009","0"
"61","555000","4","  2.50 ","77","585","  2.00 ","0","3","298","0","2012","1912"
"62","459990","3","  2.50 ","62","499","  2.00 ","0","3","241","0","2013","1923"
"63","625000","4","  3.25 ","63","4861","  1.00 ","0","3","140","390","2007","0"
"64","300000","3","  2.50 ","59","455","  2.00 ","0","3","229","0","2006","0"
"66","553000","2","  1.00 ","21","450","  1.00 ","0","3","81","0","1944","0"
"67","379880","3","  2.50 ","38","1265","  1.00 ","0","4","102","173","1986","0"
"68","310000","3","  1.00 ","23","895","  1.00 ","0","4","91","0","1973","0"
"69","775000","2","  2.50 ","62","665","  1.00 ","0","3","241","0","2004","2003"
